id_encuestado,pregunta_texto,respuesta,id_pregunta,seccion
1,Marca temporal,5/06/2025 13:03:06,1,Metadatos
2,Marca temporal,6/06/2025 16:59:17,1,Metadatos
3,Marca temporal,6/06/2025 17:01:21,1,Metadatos
4,Marca temporal,6/06/2025 17:01:35,1,Metadatos
5,Marca temporal,6/06/2025 17:01:54,1,Metadatos
6,Marca temporal,6/06/2025 17:02:07,1,Metadatos
7,Marca temporal,6/06/2025 17:03:15,1,Metadatos
8,Marca temporal,6/06/2025 17:05:25,1,Metadatos
9,Marca temporal,6/06/2025 17:05:33,1,Metadatos
10,Marca temporal,6/06/2025 17:07:18,1,Metadatos
11,Marca temporal,6/06/2025 17:09:25,1,Metadatos
12,Marca temporal,6/06/2025 17:09:37,1,Metadatos
13,Marca temporal,6/06/2025 17:09:43,1,Metadatos
14,Marca temporal,6/06/2025 17:09:57,1,Metadatos
15,Marca temporal,6/06/2025 17:10:16,1,Metadatos
16,Marca temporal,6/06/2025 17:10:20,1,Metadatos
17,Marca temporal,6/06/2025 17:11:24,1,Metadatos
18,Marca temporal,6/06/2025 17:13:28,1,Metadatos
19,Marca temporal,6/06/2025 17:13:47,1,Metadatos
20,Marca temporal,6/06/2025 17:13:50,1,Metadatos
21,Marca temporal,6/06/2025 17:17:04,1,Metadatos
22,Marca temporal,6/06/2025 17:17:59,1,Metadatos
23,Marca temporal,6/06/2025 17:21:47,1,Metadatos
24,Marca temporal,6/06/2025 17:24:20,1,Metadatos
25,Marca temporal,6/06/2025 17:24:51,1,Metadatos
26,Marca temporal,6/06/2025 17:25:18,1,Metadatos
27,Marca temporal,6/06/2025 17:26:19,1,Metadatos
28,Marca temporal,6/06/2025 17:28:54,1,Metadatos
29,Marca temporal,6/06/2025 17:33:50,1,Metadatos
30,Marca temporal,6/06/2025 17:34:38,1,Metadatos
31,Marca temporal,6/06/2025 17:35:03,1,Metadatos
32,Marca temporal,6/06/2025 17:35:38,1,Metadatos
33,Marca temporal,6/06/2025 17:37:12,1,Metadatos
34,Marca temporal,6/06/2025 17:42:35,1,Metadatos
35,Marca temporal,6/06/2025 17:49:21,1,Metadatos
36,Marca temporal,6/06/2025 17:49:56,1,Metadatos
37,Marca temporal,6/06/2025 17:50:40,1,Metadatos
38,Marca temporal,6/06/2025 18:14:05,1,Metadatos
39,Marca temporal,6/06/2025 18:19:58,1,Metadatos
40,Marca temporal,6/06/2025 18:22:02,1,Metadatos
41,Marca temporal,6/06/2025 18:26:36,1,Metadatos
42,Marca temporal,6/06/2025 18:34:01,1,Metadatos
43,Marca temporal,6/06/2025 18:36:17,1,Metadatos
44,Marca temporal,6/06/2025 18:37:17,1,Metadatos
45,Marca temporal,6/06/2025 18:54:51,1,Metadatos
46,Marca temporal,6/06/2025 18:58:21,1,Metadatos
47,Marca temporal,6/06/2025 18:59:22,1,Metadatos
48,Marca temporal,6/06/2025 19:01:42,1,Metadatos
49,Marca temporal,6/06/2025 19:12:20,1,Metadatos
50,Marca temporal,6/06/2025 19:40:03,1,Metadatos
51,Marca temporal,6/06/2025 19:42:47,1,Metadatos
52,Marca temporal,6/06/2025 19:46:55,1,Metadatos
53,Marca temporal,6/06/2025 19:47:51,1,Metadatos
54,Marca temporal,6/06/2025 19:58:52,1,Metadatos
55,Marca temporal,6/06/2025 20:04:53,1,Metadatos
56,Marca temporal,6/06/2025 20:11:12,1,Metadatos
57,Marca temporal,6/06/2025 20:51:04,1,Metadatos
58,Marca temporal,6/06/2025 21:18:00,1,Metadatos
59,Marca temporal,6/06/2025 21:19:49,1,Metadatos
60,Marca temporal,6/06/2025 21:27:34,1,Metadatos
61,Marca temporal,6/06/2025 21:54:04,1,Metadatos
62,Marca temporal,6/06/2025 21:54:39,1,Metadatos
63,Marca temporal,6/06/2025 22:03:40,1,Metadatos
64,Marca temporal,6/06/2025 22:04:51,1,Metadatos
65,Marca temporal,6/06/2025 22:07:51,1,Metadatos
66,Marca temporal,6/06/2025 22:16:38,1,Metadatos
67,Marca temporal,6/06/2025 22:22:23,1,Metadatos
68,Marca temporal,6/06/2025 22:23:54,1,Metadatos
69,Marca temporal,6/06/2025 22:32:14,1,Metadatos
70,Marca temporal,6/06/2025 22:32:27,1,Metadatos
71,Marca temporal,6/06/2025 22:35:40,1,Metadatos
72,Marca temporal,6/06/2025 22:50:11,1,Metadatos
73,Marca temporal,6/06/2025 22:52:47,1,Metadatos
74,Marca temporal,6/06/2025 22:55:00,1,Metadatos
75,Marca temporal,6/06/2025 22:56:45,1,Metadatos
76,Marca temporal,6/06/2025 23:11:04,1,Metadatos
77,Marca temporal,6/06/2025 23:12:21,1,Metadatos
78,Marca temporal,6/06/2025 23:15:12,1,Metadatos
79,Marca temporal,6/06/2025 23:16:15,1,Metadatos
80,Marca temporal,6/06/2025 23:17:08,1,Metadatos
81,Marca temporal,6/06/2025 23:20:18,1,Metadatos
82,Marca temporal,6/06/2025 23:23:40,1,Metadatos
83,Marca temporal,6/06/2025 23:33:42,1,Metadatos
84,Marca temporal,6/06/2025 23:35:33,1,Metadatos
85,Marca temporal,6/06/2025 23:38:44,1,Metadatos
86,Marca temporal,7/06/2025 0:23:35,1,Metadatos
87,Marca temporal,7/06/2025 0:31:57,1,Metadatos
88,Marca temporal,7/06/2025 2:28:13,1,Metadatos
89,Marca temporal,7/06/2025 2:43:36,1,Metadatos
90,Marca temporal,7/06/2025 3:28:23,1,Metadatos
91,Marca temporal,7/06/2025 4:27:09,1,Metadatos
92,Marca temporal,7/06/2025 6:29:29,1,Metadatos
93,Marca temporal,7/06/2025 8:01:05,1,Metadatos
94,Marca temporal,7/06/2025 8:27:01,1,Metadatos
95,Marca temporal,7/06/2025 8:44:14,1,Metadatos
96,Marca temporal,7/06/2025 8:50:30,1,Metadatos
97,Marca temporal,7/06/2025 9:13:26,1,Metadatos
98,Marca temporal,7/06/2025 9:48:02,1,Metadatos
99,Marca temporal,7/06/2025 10:35:16,1,Metadatos
100,Marca temporal,7/06/2025 10:48:52,1,Metadatos
101,Marca temporal,7/06/2025 10:54:06,1,Metadatos
102,Marca temporal,7/06/2025 10:54:34,1,Metadatos
103,Marca temporal,7/06/2025 10:58:35,1,Metadatos
104,Marca temporal,7/06/2025 11:01:40,1,Metadatos
105,Marca temporal,7/06/2025 11:04:55,1,Metadatos
106,Marca temporal,7/06/2025 11:14:28,1,Metadatos
107,Marca temporal,7/06/2025 12:15:16,1,Metadatos
108,Marca temporal,7/06/2025 12:20:10,1,Metadatos
109,Marca temporal,7/06/2025 12:20:33,1,Metadatos
110,Marca temporal,7/06/2025 12:36:34,1,Metadatos
111,Marca temporal,7/06/2025 12:36:35,1,Metadatos
112,Marca temporal,7/06/2025 12:42:58,1,Metadatos
113,Marca temporal,7/06/2025 12:48:21,1,Metadatos
114,Marca temporal,7/06/2025 13:45:44,1,Metadatos
115,Marca temporal,7/06/2025 14:20:53,1,Metadatos
116,Marca temporal,7/06/2025 14:34:23,1,Metadatos
117,Marca temporal,7/06/2025 14:34:49,1,Metadatos
118,Marca temporal,7/06/2025 14:35:49,1,Metadatos
119,Marca temporal,7/06/2025 14:50:54,1,Metadatos
120,Marca temporal,7/06/2025 14:51:40,1,Metadatos
121,Marca temporal,7/06/2025 14:57:55,1,Metadatos
122,Marca temporal,7/06/2025 15:21:18,1,Metadatos
123,Marca temporal,7/06/2025 15:42:59,1,Metadatos
124,Marca temporal,7/06/2025 16:14:48,1,Metadatos
125,Marca temporal,7/06/2025 18:11:43,1,Metadatos
126,Marca temporal,7/06/2025 20:01:33,1,Metadatos
127,Marca temporal,7/06/2025 20:09:49,1,Metadatos
128,Marca temporal,7/06/2025 20:14:53,1,Metadatos
129,Marca temporal,7/06/2025 20:56:33,1,Metadatos
130,Marca temporal,7/06/2025 21:02:35,1,Metadatos
131,Marca temporal,7/06/2025 21:51:19,1,Metadatos
132,Marca temporal,7/06/2025 22:21:31,1,Metadatos
133,Marca temporal,7/06/2025 22:22:06,1,Metadatos
134,Marca temporal,7/06/2025 22:33:08,1,Metadatos
135,Marca temporal,7/06/2025 22:45:01,1,Metadatos
136,Marca temporal,7/06/2025 22:46:15,1,Metadatos
137,Marca temporal,7/06/2025 22:59:48,1,Metadatos
138,Marca temporal,8/06/2025 0:20:00,1,Metadatos
139,Marca temporal,8/06/2025 9:30:30,1,Metadatos
140,Marca temporal,8/06/2025 10:08:34,1,Metadatos
141,Marca temporal,8/06/2025 11:42:13,1,Metadatos
142,Marca temporal,8/06/2025 17:56:14,1,Metadatos
143,Marca temporal,8/06/2025 19:40:14,1,Metadatos
144,Marca temporal,8/06/2025 19:42:52,1,Metadatos
145,Marca temporal,8/06/2025 20:27:08,1,Metadatos
146,Marca temporal,8/06/2025 20:28:50,1,Metadatos
147,Marca temporal,8/06/2025 20:36:24,1,Metadatos
