Marca temporal,"En promedio, ¿Cuántas porciones de frutas y verduras ha consumido diariamente la última semana?"
5/06/2025 13:03:06,3
6/06/2025 16:59:17,10
6/06/2025 17:01:21,2
6/06/2025 17:01:35,6
6/06/2025 17:01:54,1
6/06/2025 17:02:07,2
6/06/2025 17:03:15,0
6/06/2025 17:05:25,"0,5"
6/06/2025 17:05:33,N/A
6/06/2025 17:07:18,0
6/06/2025 17:09:25,1
6/06/2025 17:09:37,1
6/06/2025 17:09:43,5
6/06/2025 17:09:57,2
6/06/2025 17:10:16,1
6/06/2025 17:10:20,2
6/06/2025 17:11:24,2
6/06/2025 17:13:28,5
6/06/2025 17:13:47,2
6/06/2025 17:13:50,1
6/06/2025 17:17:04,4
6/06/2025 17:17:59,10
6/06/2025 17:21:47,2
6/06/2025 17:24:20,0
6/06/2025 17:24:51,0
6/06/2025 17:25:18,N/A
6/06/2025 17:26:19,4
6/06/2025 17:28:54,2
6/06/2025 17:33:50,1
6/06/2025 17:34:38,1
6/06/2025 17:35:03,1
6/06/2025 17:35:38,3
6/06/2025 17:37:12,5
6/06/2025 17:42:35,4
6/06/2025 17:49:21,1
6/06/2025 17:49:56,3
6/06/2025 17:50:40,N/A
6/06/2025 18:14:05,N/A
6/06/2025 18:19:58,2
6/06/2025 18:22:02,5
6/06/2025 18:26:36,16
6/06/2025 18:34:01,3
6/06/2025 18:36:17,0
6/06/2025 18:37:17,14
6/06/2025 18:54:51,7
6/06/2025 18:58:21,10
6/06/2025 18:59:22,10
6/06/2025 19:01:42,25
6/06/2025 19:12:20,7
6/06/2025 19:40:03,3
6/06/2025 19:42:47,N/A
6/06/2025 19:46:55,3
6/06/2025 19:47:51,7
6/06/2025 19:58:52,3
6/06/2025 20:04:53,N/A
6/06/2025 20:11:12,2
6/06/2025 20:51:04,7
6/06/2025 21:18:00,1
6/06/2025 21:19:49,3
6/06/2025 21:27:34,2
6/06/2025 21:54:04,2
6/06/2025 21:54:39,5
6/06/2025 22:03:40,10
6/06/2025 22:04:51,2
6/06/2025 22:07:51,2
6/06/2025 22:16:38,2
6/06/2025 22:22:23,4
6/06/2025 22:23:54,10
6/06/2025 22:32:14,2
6/06/2025 22:32:27,0
6/06/2025 22:35:40,3
6/06/2025 22:50:11,2
6/06/2025 22:52:47,4
6/06/2025 22:55:00,2
6/06/2025 22:56:45,3
6/06/2025 23:11:04,2
6/06/2025 23:12:21,1/2
6/06/2025 23:15:12,0
6/06/2025 23:16:15,N/A
6/06/2025 23:17:08,3
6/06/2025 23:20:18,1
6/06/2025 23:23:40,4
6/06/2025 23:33:42,N/A
6/06/2025 23:35:33,3
6/06/2025 23:38:44,3
7/06/2025 0:23:35,1
7/06/2025 0:31:57,3
7/06/2025 2:28:13,0
7/06/2025 2:43:36,7
7/06/2025 3:28:23,7
7/06/2025 4:27:09,N/A
7/06/2025 6:29:29,0
7/06/2025 8:01:05,5
7/06/2025 8:27:01,5
7/06/2025 8:44:14,4
7/06/2025 8:50:30,3
7/06/2025 9:13:26,5
7/06/2025 9:48:02,12
7/06/2025 10:35:16,1
7/06/2025 10:48:52,0
7/06/2025 10:54:06,30
7/06/2025 10:54:34,2
7/06/2025 10:58:35,6
7/06/2025 11:01:40,3
7/06/2025 11:04:55,1
7/06/2025 11:14:28,2
7/06/2025 12:15:16,3
7/06/2025 12:20:10,1
7/06/2025 12:20:33,5
7/06/2025 12:36:34,4
7/06/2025 12:36:35,7
7/06/2025 12:42:58,4
7/06/2025 12:48:21,3
7/06/2025 13:45:44,4
7/06/2025 14:20:53,1
7/06/2025 14:34:23,4
7/06/2025 14:34:49,6
7/06/2025 14:35:49,1
7/06/2025 14:50:54,10
7/06/2025 14:51:40,7
7/06/2025 14:57:55,5
7/06/2025 15:21:18,2
7/06/2025 15:42:59,5
7/06/2025 16:14:48,0
7/06/2025 18:11:43,3
7/06/2025 20:01:33,1
7/06/2025 20:09:49,5
7/06/2025 20:14:53,2
7/06/2025 20:56:33,N/A
7/06/2025 21:02:35,10
7/06/2025 21:51:19,2
7/06/2025 22:21:31,2
7/06/2025 22:22:06,0
7/06/2025 22:33:08,2
7/06/2025 22:45:01,3
7/06/2025 22:46:15,2
7/06/2025 22:59:48,3
8/06/2025 0:20:00,N/A
8/06/2025 9:30:30,6
8/06/2025 10:08:34,6
8/06/2025 11:42:13,5
8/06/2025 17:56:14,3
8/06/2025 19:40:14,2
8/06/2025 19:42:52,2
8/06/2025 20:27:08,1
8/06/2025 20:28:50,2
8/06/2025 20:36:24,4
8/06/2025 21:29:59,2
8/06/2025 21:44:16,1
8/06/2025 22:24:11,20
8/06/2025 23:48:13,4
9/06/2025 9:03:57,7
9/06/2025 9:24:29,3
9/06/2025 9:43:57,4
9/06/2025 10:41:00,N/A
9/06/2025 12:21:56,2
9/06/2025 12:23:13,5
9/06/2025 12:32:31,2
9/06/2025 12:38:16,3
9/06/2025 13:02:17,2
9/06/2025 13:47:41,7
9/06/2025 14:12:33,3
9/06/2025 14:20:06,1
9/06/2025 14:47:02,0
9/06/2025 14:50:27,1
9/06/2025 15:43:16,2
9/06/2025 17:34:00,2
9/06/2025 18:03:45,5
9/06/2025 18:29:40,3
9/06/2025 19:18:03,6
9/06/2025 19:42:10,3
9/06/2025 20:42:50,21
9/06/2025 21:05:16,2
10/06/2025 10:59:26,6
10/06/2025 11:29:52,2
10/06/2025 11:29:58,2
10/06/2025 11:30:30,4
10/06/2025 11:35:21,3
10/06/2025 11:35:56,2
10/06/2025 11:36:41,1
10/06/2025 11:37:17,4
10/06/2025 11:37:54,1
10/06/2025 11:44:58,1
10/06/2025 11:45:34,4
10/06/2025 11:46:43,3
10/06/2025 11:47:05,3
10/06/2025 11:50:11,5
10/06/2025 11:51:33,6
10/06/2025 11:52:52,2
10/06/2025 11:53:44,3
10/06/2025 12:01:07,3
10/06/2025 12:01:28,4
10/06/2025 12:12:03,4
10/06/2025 12:25:11,3
10/06/2025 12:35:27,3
10/06/2025 12:37:16,2
10/06/2025 12:46:42,2
10/06/2025 12:49:46,0
10/06/2025 12:55:05,2
10/06/2025 12:56:20,3
10/06/2025 13:17:01,4
10/06/2025 13:52:50,2
10/06/2025 13:58:57,16
10/06/2025 14:01:27,4
10/06/2025 14:46:12,4
10/06/2025 17:14:35,3
10/06/2025 17:19:52,8
10/06/2025 17:23:18,N/A
10/06/2025 17:24:23,7
10/06/2025 17:28:18,2
10/06/2025 17:47:17,3
10/06/2025 21:50:24,5
11/06/2025 7:18:09,3
11/06/2025 10:20:45,4
